,Total,TP,TN,FP,FN,precision,recall,Sn,Sp,roc_auc,average_precision,accuracy,matthews_corrcoef,f1,loss,lr
0,3382,1197,1160,531,494,0.6927083333333334,0.7078651685393258,0.7078651685393258,0.6859846244825547,0.764372275947978,0.7582392272416298,0.6969248965109403,0.3939441062987811,0.7002047382275519,0.607885608695588,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
1,3382,1263,1326,365,428,0.7757985257985258,0.7468953282081608,0.7468953282081608,0.7841513897102307,0.8327570632572834,0.8341251622689025,0.7655233589591958,0.531415652198404,0.7610726122326001,0.505197323155853,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
2,3382,1241,1379,312,450,0.7990985189954926,0.7338852749852158,0.7338852749852158,0.8154937906564164,0.8481836389190904,0.8504104430601671,0.7746895328208161,0.5512176730378227,0.7651048088779285,0.48367059399496837,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
3,3382,1263,1370,321,428,0.7973484848484849,0.7468953282081608,0.7468953282081608,0.8101714961561206,0.848139574978816,0.8542157605163092,0.7785334121821408,0.558185396983115,0.7712977099236641,0.47978836916527656,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
4,3382,1280,1376,315,411,0.8025078369905956,0.7569485511531638,0.7569485511531638,0.8137196924896511,0.8504092176167635,0.853002750933684,0.7853341218214075,0.5715900937298124,0.7790626902008521,0.47827176890283263,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
5,3382,1278,1385,306,413,0.8068181818181818,0.755765819041987,0.755765819041987,0.8190419869899468,0.8526849802464154,0.8582512521039258,0.7874039030159669,0.5759620019825773,0.7804580152671756,0.47442554190473735,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
6,3382,1258,1388,303,433,0.8058936579115952,0.7439384979302188,0.7439384979302188,0.820816085156712,0.8568813711299358,0.8584002463778052,0.7823772915434654,0.5664309132347523,0.7736777367773677,0.47115960998355216,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
7,3382,1273,1389,302,418,0.8082539682539682,0.7528089887640449,0.7528089887640449,0.8214074512123004,0.8590412036310086,0.8610166177172294,0.7871082199881727,0.5755722862951991,0.7795468462951622,0.4673921150981255,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
8,3382,1296,1396,295,395,0.8145820238843494,0.7664104080425783,0.7664104080425783,0.8255470136014192,0.8614262518268175,0.859117047484311,0.7959787108219988,0.5929952228707691,0.7897623400365631,0.4630885607791397,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
9,3382,1281,1400,291,410,0.8148854961832062,0.7575399172087522,0.7575399172087522,0.8279124778237729,0.8606642254311184,0.8634127761375671,0.7927261975162626,0.5869074688911297,0.7851670242108489,0.4633284222404912,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
