,Total,TP,TN,FP,FN,precision,recall,Sn,Sp,roc_auc,average_precision,accuracy,matthews_corrcoef,f1,loss,lr
0,79,0,0,0,79,0.0,0.0,0.0,,,0.9999999999999997,0.0,0.0,0.0,0.883439838886261,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
1,79,3,0,0,76,1.0,0.0379746835443038,0.0379746835443038,,,0.9999999999999997,0.0379746835443038,0.0,0.07317073170731707,0.7943144738674164,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
2,79,25,0,0,54,1.0,0.31645569620253167,0.31645569620253167,,,0.9999999999999997,0.31645569620253167,0.0,0.4807692307692308,0.7190867960453033,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
3,79,55,0,0,24,1.0,0.6962025316455697,0.6962025316455697,,,0.9999999999999997,0.6962025316455697,0.0,0.8208955223880597,0.6478184759616852,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
4,79,75,0,0,4,1.0,0.9493670886075949,0.9493670886075949,,,0.9999999999999997,0.9493670886075949,0.0,0.974025974025974,0.5863038599491119,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
5,79,79,0,0,0,1.0,1.0,1.0,,,0.9999999999999997,1.0,0.0,1.0,0.5180860757827759,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
6,79,79,0,0,0,1.0,1.0,1.0,,,0.9999999999999997,1.0,0.0,1.0,0.47095146775245667,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
7,79,79,0,0,0,1.0,1.0,1.0,,,0.9999999999999997,1.0,0.0,1.0,0.4178045839071274,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
8,79,79,0,0,0,1.0,1.0,1.0,,,0.9999999999999997,1.0,0.0,1.0,0.38477732241153717,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
9,79,79,0,0,0,1.0,1.0,1.0,,,0.9999999999999997,1.0,0.0,1.0,0.352820947766304,"[0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005, 0.0005]"
